Pathway name	Pathway ID
Amyotrophic lateral sclerosis	hsa05014
Thyroid hormone synthesis	hsa04918
Salivary secretion	hsa04970
Inflammatory mediator regulation of TRP channels	hsa04750
Parathyroid hormone synthesis, secretion and action	hsa04928
Growth hormone synthesis, secretion and action	hsa04935
Nicotine addiction	hsa05033
Hedgehog signaling pathway	hsa04340
Long-term potentiation	hsa04720
Type II diabetes mellitus	hsa04930
Serotonergic synapse	hsa04726
Cholinergic synapse	hsa04725
Amphetamine addiction	hsa05031
Insulin secretion	hsa04911
Aldosterone synthesis and secretion	hsa04925
Circadian entrainment	hsa04713
Glutamatergic synapse	hsa04724
GABAergic synapse	hsa04727
Morphine addiction	hsa05032
GnRH secretion	hsa04929
Synaptic vesicle cycle	hsa04721
ErbB signaling pathway	hsa04012
Cocaine addiction	hsa05030
Dopaminergic synapse	hsa04728
Alcoholism	hsa05034
Long-term depression	hsa04730
Gap junction	hsa04540
Relaxin signaling pathway	hsa04926
